modelo,fpr,tpr
Logistic Regression,0.0,0.0
Logistic Regression,0.0,0.00017358097552508245
Logistic Regression,4.125582738561822e-05,0.00017358097552508245
Logistic Regression,4.125582738561822e-05,0.001909390730775907
Logistic Regression,8.251165477123644e-05,0.001909390730775907
Logistic Regression,8.251165477123644e-05,0.0020829717063009894
Logistic Regression,0.00012376748215685467,0.0020829717063009894
Logistic Regression,0.00012376748215685467,0.0032980385349765666
Logistic Regression,0.0002062791369280911,0.0032980385349765666
Logistic Regression,0.0002062791369280911,0.003471619510501649
Logistic Regression,0.00024753496431370933,0.003471619510501649
Logistic Regression,0.00024753496431370933,0.0036452004860267314
Logistic Regression,0.00028879079169932755,0.0036452004860267314
Logistic Regression,0.00028879079169932755,0.003818781461551814
Logistic Regression,0.000371302446470564,0.003818781461551814
Logistic Regression,0.000371302446470564,0.004513105363652144
Logistic Regression,0.0004950699286274187,0.004513105363652144
Logistic Regression,0.0004950699286274187,0.005207429265752473
Logistic Regression,0.0005363257560130368,0.005207429265752473
Logistic Regression,0.0005363257560130368,0.005728172192327721
Logistic Regression,0.0005775815833986551,0.005728172192327721
Logistic Regression,0.0005775815833986551,0.005901753167852804
Logistic Regression,0.0006600932381698915,0.005901753167852804
Logistic Regression,0.0006600932381698915,0.006248915118902968
Logistic Regression,0.0007013490655555097,0.006248915118902968
Logistic Regression,0.0007013490655555097,0.006769658045478215
Logistic Regression,0.0007838607203267461,0.006769658045478215
Logistic Regression,0.0007838607203267461,0.007463981947578546
Logistic Regression,0.0008663723750979826,0.007463981947578546
Logistic Regression,0.0008663723750979826,0.008679048776254122
Logistic Regression,0.0009076282024836008,0.008679048776254122
Logistic Regression,0.0009076282024836008,0.009026210727304288
Logistic Regression,0.0009901398572548373,0.009026210727304288
Logistic Regression,0.0009901398572548373,0.00919979170282937
Logistic Regression,0.0010313956846404555,0.00919979170282937
Logistic Regression,0.0010313956846404555,0.009373372678354452
Logistic Regression,0.0010726515120260737,0.009373372678354452
Logistic Regression,0.0010726515120260737,0.009720534629404616
Logistic Regression,0.0011551631667973102,0.009720534629404616
Logistic Regression,0.0011551631667973102,0.010067696580454782
Logistic Regression,0.0011964189941829283,0.010067696580454782
Logistic Regression,0.0011964189941829283,0.010762020482555113
Logistic Regression,0.0012789306489541649,0.010762020482555113
Logistic Regression,0.0012789306489541649,0.01128276340913036
Logistic Regression,0.001320186476339783,0.01128276340913036
Logistic Regression,0.001320186476339783,0.011456344384655441
Logistic Regression,0.001485209785882256,0.011456344384655441
Logistic Regression,0.001485209785882256,0.012497830237805936
Logistic Regression,0.0015677214406534922,0.012497830237805936
Logistic Regression,0.0015677214406534922,0.012671411213331018
Logistic Regression,0.0016502330954247287,0.012671411213331018
Logistic Regression,0.0016502330954247287,0.01353931609095643
Logistic Regression,0.0017327447501959653,0.01353931609095643
Logistic Regression,0.0017327447501959653,0.013712897066481513
Logistic Regression,0.0017740005775815834,0.013712897066481513
Logistic Regression,0.0017740005775815834,0.014754382919632008
Logistic Regression,0.0018152564049672016,0.014754382919632008
Logistic Regression,0.0018152564049672016,0.015275125846207256
Logistic Regression,0.0018565122323528198,0.015275125846207256
Logistic Regression,0.0018565122323528198,0.015448706821732338
Logistic Regression,0.0018977680597384381,0.015448706821732338
Logistic Regression,0.0018977680597384381,0.015969449748307586
Logistic Regression,0.0019802797145096747,0.015969449748307586
Logistic Regression,0.0019802797145096747,0.016143030723832667
Logistic Regression,0.0020215355418952926,0.016143030723832667
Logistic Regression,0.0020215355418952926,0.016837354625933
Logistic Regression,0.002062791369280911,0.016837354625933
Logistic Regression,0.002062791369280911,0.01701093560145808
Logistic Regression,0.002104047196666529,0.01701093560145808
Logistic Regression,0.002104047196666529,0.017184516576983163
Logistic Regression,0.0021865588514377657,0.017184516576983163
Logistic Regression,0.0021865588514377657,0.017358097552508243
Logistic Regression,0.0022278146788233836,0.017358097552508243
Logistic Regression,0.0022278146788233836,0.017531678528033327
Logistic Regression,0.002269070506209002,0.017531678528033327
Logistic Regression,0.002269070506209002,0.01770525950355841
Logistic Regression,0.0023103263335946204,0.01770525950355841
Logistic Regression,0.0023103263335946204,0.01787884047908349
Logistic Regression,0.0023928379883658567,0.01787884047908349
Logistic Regression,0.0023928379883658567,0.018052421454608576
Logistic Regression,0.002434093815751475,0.018052421454608576
Logistic Regression,0.002434093815751475,0.01839958340565874
Logistic Regression,0.0025578612979083298,0.01839958340565874
Logistic Regression,0.0025578612979083298,0.018573164381183824
Logistic Regression,0.0025991171252939477,0.018573164381183824
Logistic Regression,0.0025991171252939477,0.01909390730775907
Logistic Regression,0.0027641404348364208,0.01909390730775907
Logistic Regression,0.0027641404348364208,0.019267488283284152
Logistic Regression,0.0028879079169932755,0.019267488283284152
Logistic Regression,0.0028879079169932755,0.019441069258809233
Logistic Regression,0.0029291637443788934,0.019441069258809233
Logistic Regression,0.0029291637443788934,0.019614650234334317
Logistic Regression,0.00301167539915013,0.019614650234334317
Logistic Regression,0.00301167539915013,0.020135393160909565
Logistic Regression,0.003052931226535748,0.020135393160909565
Logistic Regression,0.003052931226535748,0.020308974136434645
Logistic Regression,0.0030941870539213665,0.020308974136434645
Logistic Regression,0.0030941870539213665,0.02048255511195973
Logistic Regression,0.003176698708692603,0.02048255511195973
Logistic Regression,0.003176698708692603,0.020829717063009894
Logistic Regression,0.003217954536078221,0.020829717063009894
Logistic Regression,0.003217954536078221,0.02187120291616039
Logistic Regression,0.003259210363463839,0.02187120291616039
Logistic Regression,0.003259210363463839,0.02204478389168547
Logistic Regression,0.0033004661908494575,0.02204478389168547
Logistic Regression,0.0033004661908494575,0.022739107793785802
Logistic Regression,0.003424233673006312,0.022739107793785802
Logistic Regression,0.003424233673006312,0.02343343169588613
Logistic Regression,0.0034654895003919306,0.02343343169588613
Logistic Regression,0.0034654895003919306,0.02412775559798646
Logistic Regression,0.003589256982548785,0.02412775559798646
Logistic Regression,0.003589256982548785,0.024301336573511544
Logistic Regression,0.003630512809934403,0.024301336573511544
Logistic Regression,0.003630512809934403,0.024474917549036624
